mode,size_mb,streams,run,time_io_s,time_alloc_host_dev_s,time_h2d_s,time_kernel_gpu_s,time_lcp_cpu_s,time_d2h_s,time_compute_pure_s,time_total_compute_s,time_transfers_comm_s,throughput_MBps,speedup,efficiency_pct,memory_overhead_ratio_pct
cuda_ms,100,8,8,0.077611,0.117102,0.015687,9.532139,4.750658,39.378349,14.282796,14.399899,39.394036,7.001430,2.463977,246.397661,274.384840
cuda_ms,100,8,9,0.076397,0.115765,0.015688,9.531112,4.753971,39.379060,14.285083,14.400848,39.394748,7.000309,2.463582,246.358212,274.362399
cuda_ms,100,8,10,0.076552,0.117712,0.015687,9.744271,4.753606,39.380229,14.497876,14.615588,39.395917,6.897562,2.427423,242.742282,270.352637
cuda_ms,200,2,1,0.143223,0.121398,0.031509,12.068697,9.582087,79.447079,21.650785,21.772182,79.478588,9.237541,3.435532,343.553242,365.604074
cuda_ms,200,2,2,0.147961,0.123003,0.031509,12.068961,9.567300,79.455379,21.636261,21.759264,79.486888,9.243741,3.437839,343.783854,365.866652
cuda_ms,200,2,3,0.146552,0.125281,0.031512,12.068923,9.719392,79.454345,21.788314,21.913596,79.485856,9.179232,3.413847,341.384701,363.295640
cuda_ms,200,2,4,0.162565,0.127003,0.031527,12.073465,9.785553,79.482936,21.859018,21.986021,79.514464,9.149542,3.402805,340.280485,362.236839
cuda_ms,200,2,5,0.157312,0.121127,0.031507,12.079431,9.816656,79.450009,21.896087,22.017214,79.481516,9.134052,3.397044,339.704408,361.547307
cuda_ms,200,2,6,0.151475,0.126534,0.031499,12.076108,9.794833,79.450541,21.870941,21.997475,79.482040,9.144554,3.400950,340.094974,361.898689
cuda_ms,200,2,7,0.153046,0.127306,0.031585,12.074059,9.736982,79.465100,21.811041,21.938347,79.496685,9.169668,3.410290,341.028989,362.944350
cuda_ms,200,2,8,0.158321,0.127311,0.031500,12.083052,9.744027,79.448185,21.827078,21.954389,79.479685,9.162930,3.407784,340.778417,362.601737
cuda_ms,200,2,9,0.151462,0.122517,0.031500,12.076087,9.822971,79.465408,21.899058,22.021576,79.496908,9.132813,3.396583,339.658312,361.551898
cuda_ms,200,2,10,0.151835,0.126738,0.031518,12.075112,9.721854,79.456311,21.796967,21.923705,79.487830,9.175589,3.412492,341.249190,363.143766
cuda_ms,200,4,1,0.150892,0.121584,0.031512,15.964675,9.802654,79.797254,25.767329,25.888914,79.828766,7.761767,2.886678,288.667759,308.820801
cuda_ms,200,4,2,0.151680,0.122289,0.031494,15.970421,9.906903,79.785014,25.877324,25.999612,79.816508,7.728775,2.874407,287.440747,307.461498
cuda_ms,200,4,3,0.149328,0.122467,0.031506,15.969994,9.665632,79.790087,25.635626,25.758093,79.821592,7.801643,2.901508,290.150795,310.364825
cuda_ms,200,4,4,0.149763,0.125395,0.031502,15.973615,9.747844,79.801134,25.721459,25.846854,79.832636,7.775609,2.891825,289.182549,309.353045
cuda_ms,200,4,5,0.150438,0.122098,0.031512,15.958171,9.555196,79.784075,25.513367,25.635465,79.815586,7.839028,2.915412,291.541185,311.824596
cuda_ms,200,4,6,0.148443,0.122104,0.031505,15.964668,9.608489,79.786597,25.573156,25.695261,79.818102,7.820701,2.908596,290.859566,311.108757
cuda_ms,200,4,7,0.147026,0.121263,0.031504,15.958743,9.588409,79.785762,25.547153,25.668415,79.817266,7.828661,2.911556,291.155627,311.427595
cuda_ms,200,4,8,0.146712,0.122983,0.031502,15.965464,9.686780,79.785671,25.652243,25.775226,79.817173,7.796589,2.899628,289.962833,310.143371
cuda_ms,200,4,9,0.148442,0.121435,0.031510,15.963068,9.596458,79.784343,25.559526,25.680961,79.815853,7.824871,2.910147,291.014678,311.270625
cuda_ms,200,4,10,0.148910,0.121690,0.031509,15.957984,9.735315,79.797330,25.693300,25.814990,79.828838,7.784131,2.894995,289.499490,309.705832
cuda_ms,200,8,1,0.156300,0.122601,0.031495,19.723701,10.640333,79.463549,30.364034,30.486635,79.495044,6.586740,2.449674,244.967359,261.155897
cuda_ms,200,8,2,0.152230,0.128345,0.031511,19.714055,10.052079,79.453788,29.766133,29.894478,79.485299,6.719045,2.498879,249.887921,266.315549
cuda_ms,200,8,3,0.155040,0.123492,0.031513,19.739127,9.880091,79.473969,29.619218,29.742709,79.505482,6.752373,2.511274,251.127404,267.726027
cuda_ms,200,8,4,0.160234,0.126007,0.031507,19.974195,9.770520,79.447938,29.744715,29.870722,79.479444,6.723884,2.500679,250.067858,266.499921
cuda_ms,200,8,5,0.154445,0.122888,0.031508,19.925654,9.779552,79.461825,29.705207,29.828095,79.493333,6.732826,2.504005,250.400453,266.916884
cuda_ms,200,8,6,0.151716,0.122955,0.031512,19.958387,9.620058,79.446252,29.578444,29.701399,79.477764,6.761681,2.514736,251.473576,268.003264
cuda_ms,200,8,7,0.152957,0.121534,0.031496,19.923996,9.639471,79.452062,29.563467,29.685001,79.483558,6.765106,2.516010,251.600978,268.166039
cuda_ms,200,8,8,0.152478,0.126324,0.031496,19.914121,9.583220,79.482605,29.497341,29.623665,79.514101,6.780272,2.521650,252.165004,268.840551
cuda_ms,200,8,9,0.151273,0.122773,0.031508,19.702484,9.620084,79.483250,29.322568,29.445342,79.514758,6.820685,2.536680,253.667999,270.458848
cuda_ms,200,8,10,0.151619,0.122777,0.031499,19.701557,9.612990,79.449570,29.314546,29.437323,79.481069,6.822551,2.537374,253.737414,270.418088
